Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	10255023	4.114	0
2	243199373	10689670	4.395	0
3	198022430	8760372	4.424	0
4	191154276	8050696	4.212	0
5	180915260	7814856	4.32	0
6	171115067	7512280	4.39	0
7	159138663	6789558	4.266	0
8	146364022	6446947	4.405	0
9	141213431	5092985	3.607	-1
10	135534747	6032592	4.451	0
11	135006516	6046279	4.479	0
12	133851895	5950366	4.445	0
13	115169878	4193507	3.641	-1
14	107349540	4018601	3.743	-1
15	102531392	3663392	3.573	-1
16	90354753	3762120	4.164	0
17	81195210	3782006	4.658	1
18	78077248	3387369	4.338	0
19	59128983	2819190	4.768	1
20	63025520	3002225	4.764	1
21	48129895	1631506	3.39	-1
22	51304566	1738252	3.388	-1
Odchylenie standardowe dla osobnika: 0.41757
