Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1619679	0.65	0
2	243199373	1471399	0.605	0
3	198022430	1157413	0.584	0
4	191154276	1022786	0.535	0
5	180915260	1051740	0.581	0
6	171115067	1055940	0.617	0
7	159138663	1037691	0.652	0
8	146364022	902388	0.617	0
9	141213431	809906	0.574	0
10	135534747	997335	0.736	0
11	135006516	868519	0.643	0
12	133851895	869465	0.65	0
13	115169878	524827	0.456	-1
14	107349540	576290	0.537	0
15	102531392	579511	0.565	0
16	90354753	734096	0.812	1
17	81195210	693335	0.854	1
18	78077248	459925	0.589	0
19	59128983	600683	1.016	1
20	63025520	476329	0.756	0
21	48129895	246012	0.511	-1
22	51304566	348184	0.679	0
Odchylenie standardowe dla osobnika: 0.12322
