Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	716050	0.287	0
2	243199373	657604	0.27	0
3	198022430	513235	0.259	0
4	191154276	444890	0.233	-1
5	180915260	467791	0.259	0
6	171115067	474640	0.277	0
7	159138663	456188	0.287	0
8	146364022	399860	0.273	0
9	141213431	363648	0.258	0
10	135534747	428664	0.316	0
11	135006516	389813	0.289	0
12	133851895	390198	0.292	0
13	115169878	232751	0.202	-1
14	107349540	260236	0.242	0
15	102531392	262388	0.256	0
16	90354753	310523	0.344	0
17	81195210	311459	0.384	1
18	78077248	208292	0.267	0
19	59128983	265507	0.449	1
20	63025520	218961	0.347	1
21	48129895	166565	0.346	0
22	51304566	162030	0.316	0
Odchylenie standardowe dla osobnika: 0.05366
