Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1454684	0.584	0
2	243199373	1327605	0.546	0
3	198022430	1042528	0.526	0
4	191154276	896271	0.469	-1
5	180915260	945185	0.522	0
6	171115067	977241	0.571	0
7	159138663	930784	0.585	0
8	146364022	816789	0.558	0
9	141213431	733364	0.519	0
10	135534747	910285	0.672	0
11	135006516	793781	0.588	0
12	133851895	791493	0.591	0
13	115169878	470219	0.408	-1
14	107349540	525549	0.49	0
15	102531392	533721	0.521	0
16	90354753	637289	0.705	1
17	81195210	626599	0.772	1
18	78077248	421854	0.54	0
19	59128983	538766	0.911	1
20	63025520	445343	0.707	1
21	48129895	221067	0.459	-1
22	51304566	321361	0.626	0
Odchylenie standardowe dla osobnika: 0.11076
