Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	357769	0.144	0
2	243199373	329002	0.135	0
3	198022430	255949	0.129	0
4	191154276	222078	0.116	-1
5	180915260	234232	0.129	0
6	171115067	236978	0.138	0
7	159138663	227509	0.143	0
8	146364022	200527	0.137	0
9	141213431	181519	0.129	0
10	135534747	215293	0.159	0
11	135006516	195334	0.145	0
12	133851895	194203	0.145	0
13	115169878	116822	0.101	-1
14	107349540	129837	0.121	0
15	102531392	131595	0.128	0
16	90354753	154944	0.171	0
17	81195210	156040	0.192	1
18	78077248	104167	0.133	0
19	59128983	132728	0.224	1
20	63025520	109212	0.173	0
21	48129895	83693	0.174	1
22	51304566	81254	0.158	0
Odchylenie standardowe dla osobnika: 0.02683
