Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1788280	0.717	0
2	243199373	1642994	0.676	0
3	198022430	1283278	0.648	0
4	191154276	1112440	0.582	-1
5	180915260	1167166	0.645	0
6	171115067	1186793	0.694	0
7	159138663	1140735	0.717	0
8	146364022	1000045	0.683	0
9	141213431	907365	0.643	0
10	135534747	1073822	0.792	0
11	135006516	975109	0.722	0
12	133851895	970572	0.725	0
13	115169878	583369	0.507	-1
14	107349540	648454	0.604	0
15	102531392	655638	0.639	0
16	90354753	774857	0.858	0
17	81195210	778765	0.959	1
18	78077248	520274	0.666	0
19	59128983	662997	1.121	1
20	63025520	546763	0.868	1
21	48129895	417055	0.867	1
22	51304566	405471	0.79	0
Odchylenie standardowe dla osobnika: 0.134
