Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	49931	0.02	0
2	243199373	50375	0.021	0
3	198022430	40044	0.02	0
4	191154276	34631	0.018	0
5	180915260	35560	0.02	0
6	171115067	32154	0.019	0
7	159138663	33285	0.021	0
8	146364022	26817	0.018	0
9	141213431	24723	0.018	0
10	135534747	28913	0.021	0
11	135006516	27012	0.02	0
12	133851895	27649	0.021	0
13	115169878	19081	0.017	-1
14	107349540	18724	0.017	-1
15	102531392	18361	0.018	0
16	90354753	19309	0.021	0
17	81195210	19122	0.024	1
18	78077248	15423	0.02	0
19	59128983	12353	0.021	0
20	63025520	13057	0.021	0
21	48129895	7777	0.016	-1
22	51304566	7635	0.015	-1
Odchylenie standardowe dla osobnika: 0.00204
