Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	44079	0.018	0
2	243199373	39863	0.016	0
3	198022430	32218	0.016	0
4	191154276	29357	0.015	0
5	180915260	28882	0.016	0
6	171115067	29058	0.017	0
7	159138663	29245	0.018	0
8	146364022	23568	0.016	0
9	141213431	22374	0.016	0
10	135534747	26597	0.02	0
11	135006516	22902	0.017	0
12	133851895	24802	0.019	0
13	115169878	14373	0.012	-1
14	107349540	16240	0.015	0
15	102531392	15950	0.016	0
16	90354753	19459	0.022	1
17	81195210	19703	0.024	1
18	78077248	12134	0.016	0
19	59128983	17760	0.03	1
20	63025520	12165	0.019	0
21	48129895	6759	0.014	-1
22	51304566	9066	0.018	0
Odchylenie standardowe dla osobnika: 0.00369
