Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	298367	0.12	0
2	243199373	311813	0.128	0
3	198022430	255507	0.129	0
4	191154276	234969	0.123	0
5	180915260	227968	0.126	0
6	171115067	220123	0.129	0
7	159138663	196617	0.124	0
8	146364022	187697	0.128	0
9	141213431	148252	0.105	-1
10	135534747	176843	0.13	0
11	135006516	175793	0.13	0
12	133851895	172651	0.129	0
13	115169878	122572	0.106	-1
14	107349540	116634	0.109	-1
15	102531392	106452	0.104	-1
16	90354753	109864	0.122	0
17	81195210	108905	0.134	1
18	78077248	99318	0.127	0
19	59128983	79192	0.134	1
20	63025520	86959	0.138	1
21	48129895	49051	0.102	-1
22	51304566	50462	0.098	-1
Odchylenie standardowe dla osobnika: 0.01158
