Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	531415	0.213	0
2	243199373	575679	0.237	0
3	198022430	475205	0.24	0
4	191154276	449226	0.235	0
5	180915260	424522	0.235	0
6	171115067	409540	0.239	0
7	159138663	356457	0.224	0
8	146364022	347157	0.237	0
9	141213431	266097	0.188	-1
10	135534747	315076	0.232	0
11	135006516	312693	0.232	0
12	133851895	310758	0.232	0
13	115169878	233754	0.203	0
14	107349540	210497	0.196	0
15	102531392	188324	0.184	-1
16	90354753	182407	0.202	0
17	81195210	178481	0.22	0
18	78077248	185293	0.237	0
19	59128983	119947	0.203	0
20	63025520	148720	0.236	0
21	48129895	86234	0.179	-1
22	51304566	78343	0.153	-1
Odchylenie standardowe dla osobnika: 0.02382
