Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	800363	0.321	0
2	243199373	817563	0.336	0
3	198022430	666200	0.336	0
4	191154276	620474	0.325	0
5	180915260	593066	0.328	0
6	171115067	576978	0.337	0
7	159138663	538812	0.339	0
8	146364022	491294	0.336	0
9	141213431	391568	0.277	-1
10	135534747	475450	0.351	0
11	135006516	454785	0.337	0
12	133851895	471805	0.352	0
13	115169878	318890	0.277	-1
14	107349540	310746	0.289	0
15	102531392	282473	0.275	-1
16	90354753	308297	0.341	0
17	81195210	313217	0.386	1
18	78077248	256020	0.328	0
19	59128983	256709	0.434	1
20	63025520	226803	0.36	0
21	48129895	134097	0.279	-1
22	51304566	136963	0.267	-1
Odchylenie standardowe dla osobnika: 0.03878
