Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1830497	0.734	0
2	243199373	1713736	0.705	0
3	198022430	1369452	0.692	0
4	191154276	1231966	0.644	0
5	180915260	1223126	0.676	0
6	171115067	1256805	0.734	0
7	159138663	1212933	0.762	0
8	146364022	1038764	0.71	0
9	141213431	940515	0.666	0
10	135534747	1152547	0.85	0
11	135006516	989036	0.733	0
12	133851895	1039944	0.777	0
13	115169878	617144	0.536	-1
14	107349540	675792	0.63	0
15	102531392	681593	0.665	0
16	90354753	805461	0.891	1
17	81195210	802774	0.989	1
18	78077248	532685	0.682	0
19	59128983	690717	1.168	1
20	63025520	537330	0.853	0
21	48129895	282057	0.586	-1
22	51304566	378015	0.737	0
Odchylenie standardowe dla osobnika: 0.13544
