Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	134625	0.054	0
2	243199373	142574	0.059	0
3	198022430	117576	0.059	0
4	191154276	111385	0.058	0
5	180915260	106396	0.059	0
6	171115067	101585	0.059	0
7	159138663	91247	0.057	0
8	146364022	86213	0.059	0
9	141213431	66439	0.047	-1
10	135534747	79435	0.059	0
11	135006516	79116	0.059	0
12	133851895	79151	0.059	0
13	115169878	57693	0.05	-1
14	107349540	53383	0.05	-1
15	102531392	48197	0.047	-1
16	90354753	47504	0.053	0
17	81195210	47820	0.059	0
18	78077248	45784	0.059	0
19	59128983	34878	0.059	0
20	63025520	38085	0.06	0
21	48129895	33175	0.069	1
22	51304566	21332	0.042	-1
Odchylenie standardowe dla osobnika: 0.00577
