Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	26791	0.011	0
2	243199373	28960	0.012	0
3	198022430	23359	0.012	0
4	191154276	22201	0.012	0
5	180915260	20980	0.012	0
6	171115067	20489	0.012	0
7	159138663	18347	0.012	0
8	146364022	17346	0.012	0
9	141213431	13435	0.01	-1
10	135534747	15693	0.012	0
11	135006516	15532	0.012	0
12	133851895	15741	0.012	0
13	115169878	11479	0.01	-1
14	107349540	10625	0.01	-1
15	102531392	9462	0.009	-1
16	90354753	9725	0.011	0
17	81195210	9484	0.012	0
18	78077248	9209	0.012	0
19	59128983	7019	0.012	0
20	63025520	7528	0.012	0
21	48129895	6572	0.014	1
22	51304566	4330	0.008	-1
Odchylenie standardowe dla osobnika: 0.00127
