Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	493489	0.198	0
2	243199373	471370	0.194	0
3	198022430	367519	0.186	0
4	191154276	324574	0.17	0
5	180915260	328858	0.182	0
6	171115067	323056	0.189	0
7	159138663	316312	0.199	0
8	146364022	282011	0.193	0
9	141213431	242638	0.172	0
10	135534747	290344	0.214	0
11	135006516	283699	0.21	0
12	133851895	274716	0.205	0
13	115169878	171308	0.149	-1
14	107349540	184858	0.172	0
15	102531392	178748	0.174	0
16	90354753	216148	0.239	0
17	81195210	226774	0.279	1
18	78077248	145779	0.187	0
19	59128983	197792	0.335	1
20	63025520	157398	0.25	1
21	48129895	84164	0.175	0
22	51304566	111432	0.217	0
Odchylenie standardowe dla osobnika: 0.04046
