1	249250621	2059715	0
2	243199373	1947289	0
3	198022430	1554357	0
4	191154276	1358527	0
5	180915260	1403168	0
6	171115067	1437532	0
7	159138663	1349863	0
8	146364022	1209869	0
9	141213431	1072952	0
10	135534747	1320235	0
11	135006516	1142889	0
12	133851895	1159620	0
13	115169878	708241	0
14	107349540	765800	0
15	102531392	761848	0
16	90354753	886231	0
17	81195210	862362	0
18	78077248	627061	0
19	59128983	718850	0
20	63025520	630606	0
21	48129895	322356	0
22	51304566	435985	0
X	155270560	1106465	0
Y	59373566	73876	0
MT	16569	10572	0
GL000207.1	4262	13	0
GL000226.1	15008	20224	0
GL000229.1	19913	479	0
GL000231.1	27386	646	0
GL000210.1	27682	117	0
GL000239.1	33824	630	0
GL000235.1	34474	653	0
GL000201.1	36148	60	0
GL000247.1	36422	350	0
GL000245.1	36651	372	0
GL000197.1	37175	129	0
GL000203.1	37498	137	0
GL000246.1	38154	199	0
GL000249.1	38502	186	0
GL000196.1	38914	200	0
GL000248.1	39786	166	0
GL000244.1	39929	274	0
GL000238.1	39939	136	0
GL000202.1	40103	247	0
GL000234.1	40531	2193	0
GL000232.1	40652	1613	0
GL000206.1	41001	87	0
GL000240.1	41933	468	0
GL000236.1	41934	321	0
GL000241.1	42152	537	0
GL000243.1	43341	1100	0
GL000242.1	43523	329	0
GL000230.1	43691	319	0
GL000237.1	45867	1018	0
GL000233.1	45941	433	0
GL000204.1	81310	330	0
GL000198.1	90085	852	0
GL000208.1	92689	2433	0
GL000191.1	106433	778	0
GL000227.1	128374	581	0
GL000228.1	129120	7317	0
GL000214.1	137718	3234	0
GL000221.1	155397	1760	0
GL000209.1	159169	392	0
GL000218.1	161147	2163	0
GL000220.1	161802	39708	0
GL000213.1	164239	456	0
GL000211.1	166566	1354	0
GL000199.1	169874	18825	0
GL000217.1	172149	1135	0
GL000216.1	172294	16616	0
GL000215.1	172545	416	0
GL000205.1	174588	1508	0
GL000219.1	179198	1425	0
GL000224.1	179693	3136	0
GL000223.1	180455	1237	0
GL000195.1	182896	1861	0
GL000212.1	186858	1143	0
GL000222.1	186861	2249	0
GL000200.1	187035	711	0
GL000193.1	189789	2036	0
GL000194.1	191469	2525	0
GL000225.1	211173	26370	0
GL000192.1	547496	2828	0
*	0	0	0
