1	249250621	10915532	0
2	243199373	11532617	0
3	198022430	9478561	0
4	191154276	8780382	0
5	180915260	8464303	0
6	171115067	8114227	0
7	159138663	7271867	0
8	146364022	6957161	0
9	141213431	5438525	0
10	135534747	6438723	0
11	135006516	6451522	0
12	133851895	6371360	0
13	115169878	4577566	0
14	107349540	4303447	0
15	102531392	3901626	0
16	90354753	3911604	0
17	81195210	3907834	0
18	78077248	3676505	0
19	59128983	2819193	0
20	63025520	3161431	0
21	48129895	1749769	0
22	51304566	1780188	0
X	155270560	3353261	0
Y	59373566	312210	0
MT	16569	16381	0
*	0	0	0
