1	249250621	723008	0
2	243199373	676554	0
3	198022430	530708	0
4	191154276	461308	0
5	180915260	480888	0
6	171115067	493223	0
7	159138663	461969	0
8	146364022	409440	0
9	141213431	369879	0
10	135534747	440841	0
11	135006516	395984	0
12	133851895	394761	0
13	115169878	243276	0
14	107349540	264273	0
15	102531392	269802	0
16	90354753	304477	0
17	81195210	309339	0
18	78077248	214365	0
19	59128983	261442	0
20	63025520	219632	0
21	48129895	112251	0
22	51304566	157017	0
X	155270560	226525	0
Y	59373566	89918	0
MT	16569	52772	0
GL000207.1	4262	18	0
GL000226.1	15008	5708	0
GL000229.1	19913	315	0
GL000231.1	27386	313	0
GL000210.1	27682	41	0
GL000239.1	33824	209	0
GL000235.1	34474	210	0
GL000201.1	36148	36	0
GL000247.1	36422	123	0
GL000245.1	36651	125	0
GL000197.1	37175	59	0
GL000203.1	37498	54	0
GL000246.1	38154	69	0
GL000249.1	38502	53	0
GL000196.1	38914	57	0
GL000248.1	39786	67	0
GL000244.1	39929	64	0
GL000238.1	39939	54	0
GL000202.1	40103	66	0
GL000234.1	40531	813	0
GL000232.1	40652	522	0
GL000206.1	41001	34	0
GL000240.1	41933	125	0
GL000236.1	41934	99	0
GL000241.1	42152	241	0
GL000243.1	43341	379	0
GL000242.1	43523	127	0
GL000230.1	43691	90	0
GL000237.1	45867	322	0
GL000233.1	45941	114	0
GL000204.1	81310	129	0
GL000198.1	90085	285	0
GL000208.1	92689	712	0
GL000191.1	106433	236	0
GL000227.1	128374	187	0
GL000228.1	129120	3886	0
GL000214.1	137718	3128	0
GL000221.1	155397	624	0
GL000209.1	159169	187	0
GL000218.1	161147	764	0
GL000220.1	161802	32023	0
GL000213.1	164239	177	0
GL000211.1	166566	510	0
GL000199.1	169874	8825	0
GL000217.1	172149	573	0
GL000216.1	172294	4204	0
GL000215.1	172545	159	0
GL000205.1	174588	699	0
GL000219.1	179198	751	0
GL000224.1	179693	1479	0
GL000223.1	180455	430	0
GL000195.1	182896	860	0
GL000212.1	186858	700	0
GL000222.1	186861	880	0
GL000200.1	187035	245	0
GL000193.1	189789	887	0
GL000194.1	191469	863	0
GL000225.1	211173	6497	0
GL000192.1	547496	1014	0
*	0	0	0
