Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	178317	0.072	0
2	243199373	163596	0.067	0
3	198022430	128038	0.065	0
4	191154276	111385	0.058	-1
5	180915260	116366	0.064	0
6	171115067	118358	0.069	0
7	159138663	114390	0.072	0
8	146364022	100156	0.068	0
9	141213431	90868	0.064	0
10	135534747	107145	0.079	0
11	135006516	97467	0.072	0
12	133851895	96707	0.072	0
13	115169878	58218	0.051	-1
14	107349540	65007	0.061	-1
15	102531392	65506	0.064	0
16	90354753	77660	0.086	0
17	81195210	78397	0.097	1
18	78077248	52158	0.067	0
19	59128983	65858	0.111	1
20	63025520	54276	0.086	0
21	48129895	41998	0.087	1
22	51304566	40497	0.079	0
Odchylenie standardowe dla osobnika: 0.01291
Srednia arytmetyczna: 0.074
