Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	35677	0.014	0
2	243199373	32995	0.014	0
3	198022430	25671	0.013	0
4	191154276	22195	0.012	-1
5	180915260	23222	0.013	0
6	171115067	23623	0.014	0
7	159138663	22882	0.014	0
8	146364022	19875	0.014	0
9	141213431	17952	0.013	0
10	135534747	21686	0.016	0
11	135006516	19484	0.014	0
12	133851895	19431	0.015	0
13	115169878	11627	0.01	-1
14	107349540	12942	0.012	-1
15	102531392	13071	0.013	0
16	90354753	15342	0.017	0
17	81195210	15611	0.019	1
18	78077248	10500	0.013	0
19	59128983	13227	0.022	1
20	63025520	10833	0.017	0
21	48129895	8046	0.017	0
22	51304566	8098	0.016	0
Odchylenie standardowe dla osobnika: 0.00246
Srednia arytmetyczna: 0.01484
