Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	357639	0.143	0
2	243199373	328060	0.135	0
3	198022430	257091	0.13	0
4	191154276	222831	0.117	-1
5	180915260	233333	0.129	0
6	171115067	236862	0.138	0
7	159138663	228106	0.143	0
8	146364022	200434	0.137	0
9	141213431	180978	0.128	0
10	135534747	215593	0.159	0
11	135006516	195626	0.145	0
12	133851895	194405	0.145	0
13	115169878	116612	0.101	-1
14	107349540	129745	0.121	-1
15	102531392	131258	0.128	0
16	90354753	154731	0.171	0
17	81195210	156527	0.193	1
18	78077248	104019	0.133	0
19	59128983	133284	0.225	1
20	63025520	109185	0.173	0
21	48129895	82900	0.172	0
22	51304566	80973	0.158	0
Odchylenie standardowe dla osobnika: 0.02612
Srednia arytmetyczna: 0.14832
