Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	179490	0.072	0
2	243199373	164646	0.068	0
3	198022430	128585	0.065	0
4	191154276	110929	0.058	-1
5	180915260	116381	0.064	0
6	171115067	118420	0.069	0
7	159138663	113882	0.072	0
8	146364022	100750	0.069	0
9	141213431	90770	0.064	0
10	135534747	107500	0.079	0
11	135006516	97176	0.072	0
12	133851895	96443	0.072	0
13	115169878	58296	0.051	-1
14	107349540	64800	0.06	-1
15	102531392	66288	0.065	0
16	90354753	77622	0.086	0
17	81195210	77780	0.096	1
18	78077248	51921	0.066	0
19	59128983	66352	0.112	1
20	63025520	54711	0.087	0
21	48129895	41264	0.086	0
22	51304566	40049	0.078	0
Odchylenie standardowe dla osobnika: 0.01297
Srednia arytmetyczna: 0.07411
