Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1787934	0.717	0
2	243199373	1643290	0.676	0
3	198022430	1284556	0.649	0
4	191154276	1112284	0.582	-1
5	180915260	1166186	0.645	0
6	171115067	1186262	0.693	0
7	159138663	1142808	0.718	0
8	146364022	1000788	0.684	0
9	141213431	907019	0.642	0
10	135534747	1073604	0.792	0
11	135006516	974616	0.722	0
12	133851895	972523	0.727	0
13	115169878	582794	0.506	-1
14	107349540	649221	0.605	-1
15	102531392	656733	0.641	0
16	90354753	776218	0.859	0
17	81195210	779525	0.96	1
18	78077248	520919	0.667	0
19	59128983	663632	1.122	1
20	63025520	545799	0.866	0
21	48129895	417329	0.867	0
22	51304566	404425	0.788	0
Odchylenie standardowe dla osobnika: 0.12981
Srednia arytmetyczna: 0.74147
