Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	358084	0.144	0
2	243199373	328695	0.135	0
3	198022430	257532	0.13	0
4	191154276	222310	0.116	-1
5	180915260	233292	0.129	0
6	171115067	237272	0.139	0
7	159138663	227988	0.143	0
8	146364022	200868	0.137	0
9	141213431	181422	0.128	0
10	135534747	214937	0.159	0
11	135006516	194883	0.144	0
12	133851895	193551	0.145	0
13	115169878	116886	0.101	-1
14	107349540	130025	0.121	-1
15	102531392	131818	0.129	0
16	90354753	155305	0.172	0
17	81195210	155539	0.192	1
18	78077248	103851	0.133	0
19	59128983	132820	0.225	1
20	63025520	109185	0.173	0
21	48129895	83293	0.173	0
22	51304566	80551	0.157	0
Odchylenie standardowe dla osobnika: 0.02606
Srednia arytmetyczna: 0.14832
