Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	90482	0.036	0
2	243199373	81576	0.034	0
3	198022430	64463	0.033	0
4	191154276	56912	0.03	0
5	180915260	57475	0.032	0
6	171115067	57420	0.034	0
7	159138663	60017	0.038	0
8	146364022	46603	0.032	0
9	141213431	45845	0.032	0
10	135534747	52196	0.039	0
11	135006516	45886	0.034	0
12	133851895	51244	0.038	0
13	115169878	28604	0.025	-1
14	107349540	33282	0.031	0
15	102531392	34324	0.033	0
16	90354753	39756	0.044	0
17	81195210	44963	0.055	1
18	78077248	24210	0.031	0
19	59128983	39690	0.067	1
20	63025520	25712	0.041	0
21	48129895	13160	0.027	-1
22	51304566	19957	0.039	0
Odchylenie standardowe dla osobnika: 0.00889
Srednia arytmetyczna: 0.038
