Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	717142	0.288	0
2	243199373	658304	0.271	0
3	198022430	512845	0.259	0
4	191154276	444148	0.232	-1
5	180915260	466909	0.258	0
6	171115067	475166	0.278	0
7	159138663	455954	0.287	0
8	146364022	399811	0.273	0
9	141213431	362662	0.257	0
10	135534747	428199	0.316	0
11	135006516	389614	0.289	0
12	133851895	387775	0.29	0
13	115169878	232688	0.202	-1
14	107349540	260364	0.243	-1
15	102531392	262590	0.256	0
16	90354753	310528	0.344	0
17	81195210	311932	0.384	1
18	78077248	208037	0.266	0
19	59128983	265475	0.449	1
20	63025520	218818	0.347	0
21	48129895	167547	0.348	0
22	51304566	161544	0.315	0
Odchylenie standardowe dla osobnika: 0.05199
Srednia arytmetyczna: 0.29663
