Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	348987	0.14	0
2	243199373	371817	0.153	0
3	198022430	304992	0.154	0
4	191154276	284984	0.149	0
5	180915260	273339	0.151	0
6	171115067	263409	0.154	0
7	159138663	234464	0.147	0
8	146364022	224221	0.153	0
9	141213431	173779	0.123	-1
10	135534747	207091	0.153	0
11	135006516	204007	0.151	0
12	133851895	204915	0.153	0
13	115169878	148728	0.129	-1
14	107349540	137583	0.128	-1
15	102531392	125101	0.122	-1
16	90354753	123885	0.137	0
17	81195210	122612	0.151	0
18	78077248	118973	0.152	0
19	59128983	89230	0.151	0
20	63025520	99212	0.157	0
21	48129895	57131	0.119	-1
22	51304566	54945	0.107	-1
Odchylenie standardowe dla osobnika: 0.01365
Srednia arytmetyczna: 0.14389
