Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	357769	0.144	0
2	243199373	328693	0.135	0
3	198022430	256996	0.13	0
4	191154276	222149	0.116	-1
5	180915260	233563	0.129	0
6	171115067	236868	0.138	0
7	159138663	228395	0.144	0
8	146364022	199798	0.137	0
9	141213431	182133	0.129	0
10	135534747	214940	0.159	0
11	135006516	195242	0.145	0
12	133851895	194729	0.145	0
13	115169878	116483	0.101	-1
14	107349540	130587	0.122	-1
15	102531392	130813	0.128	0
16	90354753	154773	0.171	0
17	81195210	155410	0.191	1
18	78077248	103893	0.133	0
19	59128983	132120	0.223	1
20	63025520	109189	0.173	0
21	48129895	83362	0.173	0
22	51304566	80645	0.157	0
Odchylenie standardowe dla osobnika: 0.02556
Srednia arytmetyczna: 0.14821
