Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1346050	0.54	0
2	243199373	1430200	0.588	0
3	198022430	1177096	0.594	0
4	191154276	1113439	0.582	0
5	180915260	1055719	0.584	0
6	171115067	1017175	0.594	0
7	159138663	909993	0.572	0
8	146364022	863286	0.59	0
9	141213431	670117	0.475	-1
10	135534747	792031	0.584	0
11	135006516	790040	0.585	0
12	133851895	793693	0.593	0
13	115169878	580951	0.504	0
14	107349540	532838	0.496	-1
15	102531392	479856	0.468	-1
16	90354753	476678	0.528	0
17	81195210	477691	0.588	0
18	78077248	454093	0.582	0
19	59128983	350762	0.593	0
20	63025520	379366	0.602	0
21	48129895	327219	0.68	1
22	51304566	213095	0.415	-1
Odchylenie standardowe dla osobnika: 0.05287
Srednia arytmetyczna: 0.55637
