Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2294618	0.921	0
2	243199373	2180849	0.897	0
3	198022430	1722614	0.87	0
4	191154276	1511253	0.791	-1
5	180915260	1565381	0.865	0
6	171115067	1598530	0.934	0
7	159138663	1483598	0.932	0
8	146364022	1353555	0.925	0
9	141213431	1184483	0.839	0
10	135534747	1475505	1.089	0
11	135006516	1284753	0.952	0
12	133851895	1264315	0.945	0
13	115169878	784806	0.681	-1
14	107349540	842956	0.785	-1
15	102531392	850080	0.829	0
16	90354753	995555	1.102	1
17	81195210	946929	1.166	1
18	78077248	699266	0.896	0
19	59128983	778232	1.316	1
20	63025520	704555	1.118	1
21	48129895	360614	0.749	-1
22	51304566	489187	0.953	0
Odchylenie standardowe dla osobnika: 0.13525
Srednia arytmetyczna: 0.95942
