Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	222188	0.089	0
2	243199373	221108	0.091	0
3	198022430	174527	0.088	0
4	191154276	154667	0.081	0
5	180915260	156934	0.087	0
6	171115067	152167	0.089	0
7	159138663	141405	0.089	0
8	146364022	132265	0.09	0
9	141213431	109706	0.078	-1
10	135534747	130636	0.096	0
11	135006516	130679	0.097	0
12	133851895	123217	0.092	0
13	115169878	83030	0.072	-1
14	107349540	84337	0.079	-1
15	102531392	79881	0.078	-1
16	90354753	89222	0.099	0
17	81195210	92809	0.114	1
18	78077248	69369	0.089	0
19	59128983	73093	0.124	1
20	63025520	71141	0.113	1
21	48129895	37408	0.078	-1
22	51304566	46769	0.091	0
Odchylenie standardowe dla osobnika: 0.0121
Srednia arytmetyczna: 0.09289
