Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	357462	0.143	0
2	243199373	328019	0.135	0
3	198022430	256889	0.13	0
4	191154276	221931	0.116	-1
5	180915260	233692	0.129	0
6	171115067	237280	0.139	0
7	159138663	227814	0.143	0
8	146364022	200729	0.137	0
9	141213431	181036	0.128	0
10	135534747	215241	0.159	0
11	135006516	194502	0.144	0
12	133851895	194307	0.145	0
13	115169878	116681	0.101	-1
14	107349540	129785	0.121	-1
15	102531392	131625	0.128	0
16	90354753	155683	0.172	0
17	81195210	156754	0.193	1
18	78077248	103917	0.133	0
19	59128983	132682	0.224	1
20	63025520	108930	0.173	0
21	48129895	83498	0.173	0
22	51304566	81128	0.158	0
Odchylenie standardowe dla osobnika: 0.02606
Srednia arytmetyczna: 0.14826
