Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	27070	0.011	0
2	243199373	28691	0.012	0
3	198022430	23356	0.012	0
4	191154276	22156	0.012	0
5	180915260	21276	0.012	0
6	171115067	20340	0.012	0
7	159138663	18192	0.011	0
8	146364022	17291	0.012	0
9	141213431	13449	0.01	-1
10	135534747	15781	0.012	0
11	135006516	16034	0.012	0
12	133851895	15866	0.012	0
13	115169878	11467	0.01	-1
14	107349540	10621	0.01	-1
15	102531392	9627	0.009	-1
16	90354753	9516	0.011	0
17	81195210	9595	0.012	0
18	78077248	9110	0.012	0
19	59128983	7141	0.012	0
20	63025520	7658	0.012	0
21	48129895	6592	0.014	1
22	51304566	4304	0.008	-1
Odchylenie standardowe dla osobnika: 0.00116
Srednia arytmetyczna: 0.01126
