Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1627586	0.653	0
2	243199373	1498921	0.616	0
3	198022430	1169915	0.591	0
4	191154276	1003044	0.525	-1
5	180915260	1065508	0.589	0
6	171115067	1092659	0.639	0
7	159138663	1047818	0.658	0
8	146364022	916047	0.626	0
9	141213431	836437	0.592	0
10	135534747	1005585	0.742	0
11	135006516	896717	0.664	0
12	133851895	888274	0.664	0
13	115169878	532383	0.462	-1
14	107349540	600128	0.559	0
15	102531392	607004	0.592	0
16	90354753	721981	0.799	0
17	81195210	743416	0.916	1
18	78077248	477733	0.612	0
19	59128983	627737	1.062	1
20	63025520	510960	0.811	0
21	48129895	256489	0.533	-1
22	51304566	390860	0.762	0
Odchylenie standardowe dla osobnika: 0.13043
Srednia arytmetyczna: 0.68737
