Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1345334	0.54	0
2	243199373	1427364	0.587	0
3	198022430	1178042	0.595	0
4	191154276	1114597	0.583	0
5	180915260	1056514	0.584	0
6	171115067	1015034	0.593	0
7	159138663	911458	0.573	0
8	146364022	862930	0.59	0
9	141213431	672340	0.476	-1
10	135534747	790747	0.583	0
11	135006516	790589	0.586	0
12	133851895	794291	0.593	0
13	115169878	579861	0.503	-1
14	107349540	533782	0.497	-1
15	102531392	480962	0.469	-1
16	90354753	476568	0.527	0
17	81195210	477101	0.588	0
18	78077248	455472	0.583	0
19	59128983	351790	0.595	0
20	63025520	379479	0.602	0
21	48129895	327328	0.68	1
22	51304566	212684	0.415	-1
Odchylenie standardowe dla osobnika: 0.05276
Srednia arytmetyczna: 0.55663
