Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	13344	0.005	0
2	243199373	11605	0.005	0
3	198022430	9397	0.005	0
4	191154276	7907	0.004	0
5	180915260	8421	0.005	0
6	171115067	8970	0.005	0
7	159138663	8663	0.005	0
8	146364022	6938	0.005	0
9	141213431	7074	0.005	0
10	135534747	7815	0.006	0
11	135006516	7404	0.005	0
12	133851895	7818	0.006	0
13	115169878	4272	0.004	0
14	107349540	4782	0.004	0
15	102531392	5050	0.005	0
16	90354753	6514	0.007	0
17	81195210	7765	0.01	1
18	78077248	4240	0.005	0
19	59128983	6879	0.012	1
20	63025520	4337	0.007	0
21	48129895	1975	0.004	0
22	51304566	3428	0.007	0
Odchylenie standardowe dla osobnika: 0.00196
Srednia arytmetyczna: 0.00595
