Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	8772028	3.519	0
2	243199373	9338978	3.84	0
3	198022430	7698510	3.888	0
4	191154276	7236116	3.785	0
5	180915260	6904388	3.816	0
6	171115067	6620369	3.869	0
7	159138663	5896443	3.705	0
8	146364022	5662625	3.869	0
9	141213431	4375127	3.098	-1
10	135534747	5176112	3.819	0
11	135006516	5190915	3.845	0
12	133851895	5164800	3.859	0
13	115169878	3749259	3.255	-1
14	107349540	3477734	3.24	-1
15	102531392	3127542	3.05	-1
16	90354753	3106773	3.438	0
17	81195210	3052372	3.759	0
18	78077248	2991474	3.831	0
19	59128983	2179828	3.687	0
20	63025520	2499507	3.966	1
21	48129895	1407827	2.925	-1
22	51304566	1365227	2.661	-1
Odchylenie standardowe dla osobnika: 0.34887
Srednia arytmetyczna: 3.61647
