Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2364724	0.949	0
2	243199373	2243571	0.923	0
3	198022430	1770590	0.894	0
4	191154276	1547912	0.81	-1
5	180915260	1602898	0.886	0
6	171115067	1652038	0.965	0
7	159138663	1532862	0.963	0
8	146364022	1389924	0.95	0
9	141213431	1216401	0.861	0
10	135534747	1520301	1.122	0
11	135006516	1325225	0.982	0
12	133851895	1306580	0.976	0
13	115169878	803626	0.698	-1
14	107349540	869010	0.81	-1
15	102531392	875342	0.854	0
16	90354753	1041138	1.152	1
17	81195210	990963	1.22	1
18	78077248	717740	0.919	0
19	59128983	828239	1.401	1
20	63025520	731279	1.16	1
21	48129895	372646	0.774	-1
22	51304566	517787	1.009	0
Odchylenie standardowe dla osobnika: 0.14935
Srednia arytmetyczna: 0.99405
