Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1789067	0.718	0
2	243199373	1642848	0.676	0
3	198022430	1283830	0.648	0
4	191154276	1112012	0.582	-1
5	180915260	1166648	0.645	0
6	171115067	1186597	0.693	0
7	159138663	1140511	0.717	0
8	146364022	1001521	0.684	0
9	141213431	907196	0.642	0
10	135534747	1073363	0.792	0
11	135006516	974867	0.722	0
12	133851895	971511	0.726	0
13	115169878	582800	0.506	-1
14	107349540	650211	0.606	-1
15	102531392	655320	0.639	0
16	90354753	775301	0.858	0
17	81195210	778881	0.959	1
18	78077248	520492	0.667	0
19	59128983	663040	1.121	1
20	63025520	546250	0.867	0
21	48129895	416290	0.865	0
22	51304566	404980	0.789	0
Odchylenie standardowe dla osobnika: 0.12966
Srednia arytmetyczna: 0.74126
