Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	15127445	6.069	0
2	243199373	16205546	6.663	0
3	198022430	13443613	6.789	0
4	191154276	12908907	6.753	0
5	180915260	12072613	6.673	0
6	171115067	11606533	6.783	0
7	159138663	10348260	6.503	0
8	146364022	9796904	6.694	0
9	141213431	7544616	5.343	-1
10	135534747	8874218	6.548	0
11	135006516	8902017	6.594	0
12	133851895	8979760	6.709	0
13	115169878	6653114	5.777	0
14	107349540	6041728	5.628	0
15	102531392	5392503	5.259	-1
16	90354753	5226921	5.785	0
17	81195210	5204047	6.409	0
18	78077248	5164993	6.615	0
19	59128983	3797442	6.422	0
20	63025520	4157568	6.597	0
21	48129895	2489178	5.172	-1
22	51304566	2266315	4.417	-1
Odchylenie standardowe dla osobnika: 0.642
Srednia arytmetyczna: 6.24411
