Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	708591	0.284	0
2	243199373	654348	0.269	0
3	198022430	519145	0.262	0
4	191154276	456612	0.239	-1
5	180915260	470282	0.26	0
6	171115067	477834	0.279	0
7	159138663	459769	0.289	0
8	146364022	401121	0.274	0
9	141213431	359115	0.254	0
10	135534747	426424	0.315	0
11	135006516	380522	0.282	0
12	133851895	391583	0.293	0
13	115169878	238701	0.207	-1
14	107349540	258860	0.241	-1
15	102531392	258960	0.253	0
16	90354753	303401	0.336	0
17	81195210	306618	0.378	1
18	78077248	205321	0.263	0
19	59128983	261789	0.443	1
20	63025520	207778	0.33	0
21	48129895	106877	0.222	-1
22	51304566	148280	0.289	0
Odchylenie standardowe dla osobnika: 0.04898
Srednia arytmetyczna: 0.29316
