Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1344475	0.539	0
2	243199373	1429061	0.588	0
3	198022430	1176952	0.594	0
4	191154276	1112781	0.582	0
5	180915260	1056473	0.584	0
6	171115067	1016951	0.594	0
7	159138663	911833	0.573	0
8	146364022	863122	0.59	0
9	141213431	671807	0.476	-1
10	135534747	788504	0.582	0
11	135006516	791877	0.587	0
12	133851895	793417	0.593	0
13	115169878	579453	0.503	-1
14	107349540	534394	0.498	-1
15	102531392	479273	0.467	-1
16	90354753	476644	0.528	0
17	81195210	477268	0.588	0
18	78077248	453907	0.581	0
19	59128983	349025	0.59	0
20	63025520	379082	0.601	0
21	48129895	327448	0.68	1
22	51304566	212982	0.415	-1
Odchylenie standardowe dla osobnika: 0.05265
Srednia arytmetyczna: 0.55626
