Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1390978	0.558	0
2	243199373	1280268	0.526	0
3	198022430	1003005	0.507	0
4	191154276	862501	0.451	-1
5	180915260	908843	0.502	0
6	171115067	927798	0.542	0
7	159138663	898622	0.565	0
8	146364022	773910	0.529	0
9	141213431	715173	0.506	0
10	135534747	849598	0.627	0
11	135006516	758028	0.561	0
12	133851895	763899	0.571	0
13	115169878	455594	0.396	-1
14	107349540	508075	0.473	-1
15	102531392	517178	0.504	0
16	90354753	610701	0.676	0
17	81195210	633218	0.78	1
18	78077248	403610	0.517	0
19	59128983	540979	0.915	1
20	63025520	428570	0.68	0
21	48129895	217355	0.452	-1
22	51304566	322330	0.628	0
Odchylenie standardowe dla osobnika: 0.11109
Srednia arytmetyczna: 0.58426
